Position(function_name='_ZN8solidity8langutil11TokenTraits12isYulKeywordENS0_5TokenE', line_start=333, column_start=101, line_end=333, column_end=119)
Position(function_name='_ZN8solidity8langutil11TokenTraits12isYulKeywordENS0_5TokenE', line_start=334, column_start=4, line_end=334, column_end=25)
Position(function_name='_ZN8solidity8langutil11TokenTraits12isYulKeywordENS0_5TokenE', line_start=334, column_start=29, line_end=334, column_end=46)
Position(function_name='_ZN8solidity8langutil11TokenTraits12isYulKeywordENS0_5TokenE', line_start=334, column_start=50, line_end=334, column_end=69)
Position(function_name='_ZN8solidity8langutil11TokenTraits12isYulKeywordENS0_5TokenE', line_start=334, column_start=73, line_end=334, column_end=95)
Position(function_name='_ZN8solidity8langutil11TokenTraits12isYulKeywordENS0_5TokenE', line_start=335, column_start=4, line_end=335, column_end=29)
Position(function_name='_ZN8solidity8langutil11TokenTraits12isYulKeywordENS0_5TokenE', line_start=335, column_start=33, line_end=335, column_end=59)
Position(function_name='_ZN8solidity8langutil11TokenTraits12isYulKeywordENS0_5TokenE', line_start=335, column_start=97, line_end=335, column_end=114)
Position(function_name='_ZN8solidity8langutil11TokenTraits29isExperimentalSolidityKeywordENS0_5TokenE', line_start=352, column_start=4, line_end=352, column_end=28)
Position(function_name='_ZN8solidity8langutil11TokenTraits29isExperimentalSolidityKeywordENS0_5TokenE', line_start=356, column_start=4, line_end=356, column_end=26)
Position(function_name='_ZN8solidity8langutil11TokenTraits29isExperimentalSolidityKeywordENS0_5TokenE', line_start=357, column_start=4, line_end=357, column_end=22)
Position(function_name='_ZN8solidity8langutil11TokenTraits29isExperimentalSolidityKeywordENS0_5TokenE', line_start=358, column_start=4, line_end=358, column_end=28)
Position(function_name='_ZNK8solidity8frontend10MemberList13membersByNameERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE', line_start=139, column_start=22, line_end=139, column_end=23)
Position(function_name='_ZNK8solidity8frontend10MemberList13membersByNameERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE', line_start=140, column_start=8, line_end=140, column_end=24)
Position(function_name='_ZNK8solidity8frontend4Type20binaryOperatorResultENS_8langutil5TokenEPKS1_', line_start=235, column_start=10, line_end=235, column_end=45)
Position(function_name='_ZNK8solidity8frontend4Type16calldataHeadSizeEv', line_start=253, column_start=45, line_end=253, column_end=67)
Position(function_name='_ZNK8solidity8frontend4Type10stackItemsB5cxx11Ev', line_start=314, column_start=7, line_end=314, column_end=20)
Position(function_name='_ZNK8solidity8frontend4Type11sizeOnStackEv', line_start=322, column_start=7, line_end=322, column_end=19)
Position(function_name='_ZNK8solidity8frontend4Type11sizeOnStackEv', line_start=325, column_start=25, line_end=325, column_end=26)
Position(function_name='_ZNK8solidity8frontend4Type11sizeOnStackEv', line_start=326, column_start=9, line_end=326, column_end=26)
Position(function_name='_ZNK8solidity8frontend11AddressType19calldataEncodedSizeEb', line_start=455, column_start=76, line_end=455, column_end=83)
Position(function_name='_ZNK8solidity8frontend11IntegerType19calldataEncodedSizeEb', line_start=500, column_start=76, line_end=500, column_end=83)
Position(function_name='_ZNK8solidity8frontend14FixedPointType19calldataEncodedSizeEb', line_start=547, column_start=76, line_end=547, column_end=83)
Position(function_name='_ZNK8solidity8frontend14FixedBytesType19calldataEncodedSizeEb', line_start=696, column_start=69, line_end=696, column_end=76)
Position(function_name='_ZNK8solidity8frontend14FixedBytesType19calldataEncodedSizeEb', line_start=696, column_start=80, line_end=696, column_end=91)
Position(function_name='_ZNK8solidity8frontend8BoolType19calldataEncodedSizeEb', line_start=724, column_start=68, line_end=724, column_end=75)
Position(function_name='_ZNK8solidity8frontend13ReferenceType6equalsERKS1_', line_start=808, column_start=10, line_end=808, column_end=41)
Position(function_name='_ZNK8solidity8frontend13ReferenceType6equalsERKS1_', line_start=808, column_start=45, line_end=808, column_end=78)
Position(function_name='_ZNK8solidity8frontend12ContractType13interfaceTypeEb', line_start=988, column_start=10, line_end=988, column_end=20)
Position(function_name='_ZNK8solidity8frontend8EnumType13interfaceTypeEb', line_start=1110, column_start=10, line_end=1110, column_end=20)
Position(function_name='_ZN8solidity8frontend12FunctionTypeC2ERKSt6vectorINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS8_EESC_NS1_4KindENS0_15StateMutabilityENS1_7OptionsE', line_start=75, column_start=9, line_end=75, column_end=19)
Position(function_name='_ZN8solidity8frontend12FunctionTypeC2ESt6vectorIPKNS0_4TypeESaIS5_EES7_S2_INSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaISD_EESF_NS1_4KindENS0_15StateMutabilityEPKNS0_11DeclarationENS1_7OptionsE', line_start=75, column_start=9, line_end=75, column_end=19)
Position(function_name='_ZNK8solidity8frontend12FunctionType11canBeStoredEv', line_start=1421, column_start=45, line_end=1421, column_end=69)
Position(function_name='_ZNK8solidity8frontend12FunctionType11canBeStoredEv', line_start=1421, column_start=73, line_end=1421, column_end=97)
