Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZNS0_17createStackLayoutIZZNS0_20StackLayoutGenerator12combineStackERKSt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISC_EESG_ENK3$_1clESG_EUljE_ZZNS3_12combineStackESG_SG_ENKSH_clESG_EUlRKSC_E_ZZNS3_12combineStackESG_SG_ENKSH_clESG_EUlvE_EEvRSE_SG_T_T0_T1_E17ShuffleOperationsE11shuffleStepIJSN_SG_RSI_RSL_RSM_EEEbDpOT_', line_start=363, column_start=45, line_end=363, column_end=80)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZNS0_17createStackLayoutIZZNS0_20StackLayoutGenerator12combineStackERKSt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISC_EESG_ENK3$_1clESG_EUljE_ZZNS3_12combineStackESG_SG_ENKSH_clESG_EUlRKSC_E_ZZNS3_12combineStackESG_SG_ENKSH_clESG_EUlvE_EEvRSE_SG_T_T0_T1_E17ShuffleOperationsE11shuffleStepIJSN_SG_RSI_RSL_RSM_EEEbDpOT_', line_start=363, column_start=8, line_end=363, column_end=41)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZNS0_17createStackLayoutIZZNS0_20StackLayoutGenerator12combineStackERKSt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISC_EESG_ENK3$_1clESG_EUljE_ZZNS3_12combineStackESG_SG_ENKSH_clESG_EUlRKSC_E_ZZNS3_12combineStackESG_SG_ENKSH_clESG_EUlvE_EEvRSE_SG_T_T0_T1_E17ShuffleOperationsE11shuffleStepIJSN_SG_RSI_RSL_RSM_EEEbDpOT_', line_start=368, column_start=21, line_end=368, column_end=22)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZNS0_17createStackLayoutIZZNS0_20StackLayoutGenerator12combineStackERKSt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISC_EESG_ENK3$_1clESG_EUljE_ZZNS3_12combineStackESG_SG_ENKSH_clESG_EUlRKSC_E_ZZNS3_12combineStackESG_SG_ENKSH_clESG_EUlvE_EEvRSE_SG_T_T0_T1_E17ShuffleOperationsE11shuffleStepIJSN_SG_RSI_RSL_RSM_EEEbDpOT_', line_start=369, column_start=45, line_end=369, column_end=81)
Position(function_name='StackLayoutGenerator.cpp:_ZN8solidity3yul8ShufflerIZNS0_17createStackLayoutIZZNS0_20StackLayoutGenerator12combineStackERKSt6vectorISt7variantIJNS0_27FunctionCallReturnLabelSlotENS0_23FunctionReturnLabelSlotENS0_12VariableSlotENS0_11LiteralSlotENS0_13TemporarySlotENS0_8JunkSlotEEESaISC_EESG_ENK3$_1clESG_EUljE_ZZNS3_12combineStackESG_SG_ENKSH_clESG_EUlRKSC_E_ZZNS3_12combineStackESG_SG_ENKSH_clESG_EUlvE_EEvRSE_SG_T_T0_T1_E17ShuffleOperationsE11shuffleStepIJSN_SG_RSI_RSL_RSM_EEEbDpOT_', line_start=369, column_start=8, line_end=369, column_end=41)
Position(function_name='StackLimitEvader.cpp:_ZN12_GLOBAL__N_121MemoryOffsetAllocator3runESt7variantIJN8solidity3yul9YulStringENS3_13BuiltinHandleEEE', line_start=78, column_start=34, line_end=78, column_end=52)
Position(function_name='StackToMemoryMover.cpp:_ZZN8solidity3yul18StackToMemoryMoverclERNS0_5BlockEENK3$_0clINS0_10AssignmentESt6vectorINS0_10IdentifierESaIS8_EEEESt8optionalIS7_ISt7variantIJNS0_19ExpressionStatementES6_NS0_19VariableDeclarationENS0_18FunctionDefinitionENS0_2IfENS0_6SwitchENS0_7ForLoopENS0_5BreakENS0_8ContinueENS0_5LeaveES2_EESaISM_EEERT_RT0_', line_start=211, column_start=13, line_end=211, column_end=19)
Position(function_name='StackToMemoryMover.cpp:_ZZN8solidity3yul18StackToMemoryMoverclERNS0_5BlockEENK3$_0clINS0_10AssignmentESt6vectorINS0_10IdentifierESaIS8_EEEESt8optionalIS7_ISt7variantIJNS0_19ExpressionStatementES6_NS0_19VariableDeclarationENS0_18FunctionDefinitionENS0_2IfENS0_6SwitchENS0_7ForLoopENS0_5BreakENS0_8ContinueENS0_5LeaveES2_EESaISM_EEERT_RT0_', line_start=216, column_start=6, line_end=216, column_end=17)
Position(function_name='StackToMemoryMover.cpp:_ZZN8solidity3yul18StackToMemoryMoverclERNS0_5BlockEENK3$_0clINS0_10AssignmentESt6vectorINS0_10IdentifierESaIS8_EEEESt8optionalIS7_ISt7variantIJNS0_19ExpressionStatementES6_NS0_19VariableDeclarationENS0_18FunctionDefinitionENS0_2IfENS0_6SwitchENS0_7ForLoopENS0_5BreakENS0_8ContinueENS0_5LeaveES2_EESaISM_EEERT_RT0_', line_start=253, column_start=32, line_end=253, column_end=33)
Position(function_name='StackToMemoryMover.cpp:_ZZN8solidity3yul18StackToMemoryMoverclERNS0_5BlockEENK3$_0clINS0_10AssignmentESt6vectorINS0_10IdentifierESaIS8_EEEESt8optionalIS7_ISt7variantIJNS0_19ExpressionStatementES6_NS0_19VariableDeclarationENS0_18FunctionDefinitionENS0_2IfENS0_6SwitchENS0_7ForLoopENS0_5BreakENS0_8ContinueENS0_5LeaveES2_EESaISM_EEERT_RT0_', line_start=265, column_start=13, line_end=265, column_end=19)
